1,he put an elephant into the fridge,he put a turkey into the fridge,0
2,my sister eats an apple after breakfast every day,my sister eats a stone after breakfast every day,0
3,money can be used for buying cars,money can be used for buying stars,0
6,he was sent to a restaurant for treatment after a car crash,he was sent to a hospital for treatment after a car crash,0
7,his mother became satisfied after he got good grades in the math exam,his mother became angry after he got good grades in the math exam,0
8,cans are usually made of gold,cans are usually made of aluminum,0
9,i put my desktop into my suitcase before departure,i put my laptop into my suitcase before departure,0
10,i walk to the moon,i walk to the school,0
11,i work 25 hours a day,i work 8 hours a day,0
12,i'm hungry for water,i'm hungry for food,0
14,this man can jump across a mountain easily,this man can jump across a hurdle easily,0
15,i put the rubbish into a trash can,i put the rubbish into a mailbox,0
17,most people become wiser after drinking a lot alcohol,most people become more stupid after drinking a lot alcohol,0
18,a salad usually contains grass,a salad usually contains lettuce,0
19,computers are everywhere in a forest,trees are everywhere in a forest,0
20,my family used to watch tv together after dinner,my family used to watch radio together after dinner,0
22,he died after taking poisons,he cured after taking poisons,0
23,i changed my direction when passing a crossroads,i changed my car when passing a crossroads,0
24,i had a sweet dream when i was asleep yesterday,i had a sweet dream when i was awake yesterday,0
25,my dad drinks a tin of cola everyday,my dad grows a tin of cola everyday,0
26,alice became joyful after felt left out by her friends,alice became sad after felt left out by her friends,0
27,bob played hard to prepare for the examination,bob studied hard to prepare for the examination,0
28,i was humiliated by him so i broke up with him,i was humiliated by him so i had better friendship with him,0
29,i cooked my meal at the restaurant,i paid for my meal at the restaurant,0
30,bob loves to play tennis at the indoor stadium,bob loves to play tennis at the sports store,0
31,i love eating seafood and i love eating chicken,i love eating seafood so i love eating chicken,0
32,i am tall so i have an advantage in basketball,i am short so i have an advantage in basketball,0
33,mother sings a lullaby to send her baby asleep,mother sings a rock-and-roll to send her baby asleep,0
34,this apple is a beautiful golden green color,this apple is a beautiful light blue color,0
35,i call my mum with a phone,i call my mum with a drum,0
36,i like drinking mercury after dinner,i like drinking coffee after dinner,0
37,i put a bar of soap on a birthday cake,i put a candle on a birthday cake,0
38,sugar is the main ingredient in candy,plastic is the main ingredient in candy,0
39,he put some soy sauce to make the noodles taste better,he put some soy sauce to make the robot taste better,0
40,he is drunk soon after drinking some gin,he is drunk soon after drinking some water,0
43,teachers teach geography with a globe,teachers teach sports with a globe,0
45,children have fun in the amusement park,children have fun in the cemetery,0
46,mary eats at a restaurant to do the dishes,mary eats at a restaurant to avoid doing the dishes,0
47,wool is a form of clothing material,wool is a form of eating material,0
51,jerry takes a visiting card from the rolodex to keep in touch with tom,jerry takes a tissue from the rolodex to keep in touch with tom,0
52,pictures can be kept on films temporarily,pictures can be kept on films eternally,0
53,we use a handsaw to cut wood,we use a penknife to cut wood,0
54,human beings can travel to the moon by spacecraft,human beings can travel to the moon by bus,0
55,she is happy to play with her friends,she is sad to play with her friends,0
56,smartphones nowadays are huge,smartphones nowadays are small,0
57,we took television sets to commemorate important days,we took photos to commemorate important days,0
58,i park my car in the living room,i park my car in the garage,0
60,lily opened the window to let some fresh air in,lily opened the wall to let some fresh air in,0
61,a giant panda is a black and white mammal found in asia,a giant panda is a black and white bird found in asia,0
63,smoking is bad for health,smoking is good for health,0
64,a power socket has a copper housing for safety,a power socket has a plastic housing for safety,0
65,it takes him an hour to tear himself apart,it takes him an hour to clean himself up,0
66,i write a letter to tell her i am fine,i rip a letter to tell her i am fine,0
67,a dining room is a place where people sleep,a dining room is a place where people eat,0
68,he breaks the iron board with a bare hand,he breaks the wooden board with a bare hand,0
69,supermarkets cut down prices for a year-end clearance,supermarkets rise prices for a year-end clearance,0
70,the farm is destroyed by a tomato,the farm is destroyed by a tornado,0
71,he is so famous that everybody has heard of him,he is so famous that nobody has heard of him,0
72,i like her songs because she is a good singer,i like her songs because she is a good cook,0
73,there are many aquatic plants in the pond,there are many trees in the pond,0
74,the moon is a planet of the solar system,the earth is a planet of the solar system,0
75,we stopped at the power plant because we needed gasoline,we stopped at the filling station because we needed gasoline,0
76,lily goes to the cinema to watch a movie,lily goes to the cinema to listen to a concert,0
77,centigrade is a measure of acidity,centigrade is a measure of temperature,0
78,the ancients used a compass as a guidance,the ancients used a satellite as a guidance,0
79,the fire was caused by a lighted cigarette,the fire was caused by a glass of water,0
81,a prince is a piece used in the game of chess,a king is a piece used in the game of chess,0
82,maid is an important member of a family,mother is an important member of a family,0
83,he opens the door with a lock,he opens the door with a key,0
84,a sea is a large body of salt water,a sea is a large body of sweet water,0
85,a rooster can lay eggs,a hen can lay eggs,0
86,farmers are growing mushrooms under the sun,farmers are growing crops under the sun,0
87,tom buys his girlfriend a bunch of roses on valentine's day,tom buys his girlfriend a bunch of carnations on valentine's day,0
88,soup is best eaten with a spoon,soup is best eaten with a fork,0
89,there are many fishes in the desert,there are many fishes in the sea,0
90,i fly to new york to see the statue of liberty,i fly to paris to see the statue of liberty,0
91,nissan is a foreign plane manufacturer,nissan is a foreign car manufacturer,0
92,food is stored in the pan,food is stored in the fridge,0
93,the image of the cat seems to be reflected many times in the mirror,the image of the cat seems to be reflected many times in the glass,0
95,laughter is a sign of joy,laughter is a sign of sorrow,0
96,mary sits at the closet and begins reading,mary sits at the desk and begins reading,0
97,jim practices running on the playground every morning,jim practices running on the bed every morning,0
98,he climbs up the mountain with the help of a rope,he climbs up the mountain with the help of a ribbon,0
101,bob looks up a word in a dictionary,bob looks up a word in a shopping list,0
104,santa claus pretends to be a parent to give children presents,parents pretend to be santa claus to give children presents,0
105,he buys something to eat from the convenient store,he sells something to eat to the convenient store,0
106,he gives the driver a gift to thank him for a free ride,he killed the driver to thank him for a free ride,0
107,she feels ill and goes to see a doctor,she feels ill and goes to see a teacher,0
108,i buy a cd to listen to the latest songs,i buy a cd to listen to the latest advertisements,0
